listing_date,code,company_name,market
2024-10-01,256A,飛島ホールディングス（株）,プライム
2024-09-27,247A,Aiロボティクス（株）,グロース
2024-09-26,244A,グロースエクスパートナーズ（株）,グロース
2024-09-26,245A,（株）ＩＮＧＳ,グロース
2024-09-26,246A,（株）アスア,グロース
2024-09-26,248A,（株）キッズスター,グロース
2024-09-25,241A,（株）ROXX,グロース
2024-08-21,228A,（株）オプロ,グロース
2024-07-31,220A,（株）Faber Company,スタンダード
2024-07-30,219A,Ｈｅａｒｔｓｅｅｄ（株）,グロース
2024-07-29,218A,（株）Liberaware,グロース
2024-07-26,215A,（株）タイミー,グロース
2024-07-23,212A,フィットイージー（株）,スタンダード
2024-07-18,211A,（株）カドス・コーポレーション,スタンダード
2024-07-02,206A,（株）PRISM BioLab,グロース
2024-07-01,208A,（株）構造計画研究所ホールディングス,スタンダード
2024-06-28,205A,（株）ロゴスホールディングス,グロース
2024-06-27,202A,（株）豆蔵デジタルホールディングス,グロース
2024-06-21,196A,（株）ＭＦＳ,グロース
2024-06-20,194A,（株）WOLVES HAND,グロース
2024-06-20,197A,（株）タウンズ,スタンダード
2024-06-20,198A,ＰｏｓｔＰｒｉｍｅ（株）,グロース
2024-06-19,195A,（株）ライスカレー,グロース
2024-06-18,192A,インテグループ（株）,グロース
2024-06-14,190A,Ｃｈｏｒｄｉａ　Ｔｈｅｒａｐｅｕｔｉｃｓ（株）,グロース
2024-06-11,189A,（株）Ｄ＆Ｍカンパニー,グロース
2024-06-05,186A,（株）アストロスケールホールディングス,グロース
2024-06-03,187A,サムティホールディングス（株）,プライム
2024-05-28,184A,（株）学びエイド,グロース
2024-04-25,177A,コージンバイオ（株）,グロース
2024-04-24,176A,レジル（株）,グロース
2024-04-16,175A,（株）Will Smart,グロース
2024-04-11,173A,（株）ハンモック,グロース
2024-04-08,168A,（株）イタミアート,グロース
2024-04-04,160A,（株）アズパートナーズ,スタンダード
2024-04-01,165A,SBIレオスひふみ（株）,グロース
2024-04-01,166A,（株）タスキホールディングス,グロース
2024-04-01,167A,リョーサン菱洋ホールディングス（株）,プライム
2024-03-29,156A,マテリアルグループ（株）,グロース
2024-03-29,157A,グリーンモンスター（株）,グロース
2024-03-28,153A,（株）カウリス,グロース
2024-03-28,155A,（株）情報戦略テクノロジー,グロース
2024-03-27,146A,コロンビア・ワークス（株）,スタンダード
2024-03-27,149A,（株）シンカ,グロース
2024-03-27,151A,（株）ダイブ,グロース
2024-03-26,145A,（株）L is B,グロース
2024-03-26,147A,（株）ソラコム,グロース
2024-03-26,148A,（株）ハッチ・ワーク,グロース
2024-03-26,150A,（株）ＪＳＨ,グロース
2024-03-25,143A,イシン（株）,グロース
2024-03-22,142A,（株）ジンジブ,グロース
2024-03-21,141A,（株）トライアルホールディングス,グロース
2024-03-21,5858,（株）ＳＴＧ,グロース
2024-03-18,5356,美濃窯業（株）,スタンダード
2024-03-13,6797,名古屋電機工業（株）,スタンダード
2024-02-28,137A,Cocolive（株）,グロース
2024-02-28,138A,光フードサービス（株）,グロース
2024-02-22,135A,（株）ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,グロース
2024-02-08,130A,（株）Veritas In Silico,グロース
2024-02-07,5871,SOLIZE（株）,スタンダード
2023-12-27,5892,（株）yutori,グロース
2023-12-25,5870,（株）ナルネットコミュニケーションズ,グロース
2023-12-25,9223,（株）ASNOVA,グロース
2023-12-22,5621,（株）ヒューマンテクノロジーズ,グロース
2023-12-22,5869,（株）早稲田学習研究会,スタンダード
2023-12-21,5619,マーソ（株）,グロース
2023-12-20,5618,ナイル（株）,グロース
2023-12-20,5868,（株）ロココ,スタンダード
2023-12-19,5867,（株）エスネットワークス,グロース
2023-12-18,5616,（株）雨風太陽,グロース
2023-12-15,5599,Ｓ＆Ｊ（株）,グロース
2023-12-15,5891,（株）魁力屋,スタンダード
2023-12-12,5596,アウトルックコンサルティング（株）,グロース
2023-12-12,5597,ブルーイノベーション（株）,グロース
2023-12-06,5595,（株）ＱＰＳ研究所,グロース
2023-12-04,4197,（株）アスマーク,スタンダード
2023-11-22,9238,バリュークリエーション（株）,グロース
2023-11-16,5889,Japan Eyewear Holdings（株）,スタンダード
2023-11-08,5888,ＤＡＩＷＡ　ＣＹＣＬＥ（株）,グロース
2023-10-27,4811,（株）ドリーム・アーツ,グロース
2023-10-26,9237,（株）笑美面,グロース
2023-10-25,5845,全保連（株）,スタンダード
2023-10-25,6525,（株）KOKUSAI ELECTRIC,プライム
2023-10-24,9236,ジャパンＭ＆Ａソリューション（株）,グロース
2023-10-23,9235,（株）売れるネット広告社,グロース
